Using field units, Initial reservoir pressure [psi]: ,0,,,,,,,,
,Well_1A,Well_10A,Well_11A,Well_3A,Well_5A,Well_6A,Well_7A,Well_9A,Well_2A,Well_4A
Time,,,,,,,,,,
hours,,,,,,,,,,
0,,,,,,,,,,
31.96257312,,,,,,,,,,
32.04569154,,,,,,,,,,
32.13189001,,,,,,,,,,
32.21767282,,,,,,,,,,
32.21797734,,,,,,,,,,
32.30698516,,,,,,,,,,
32.30728849,,,,,,,,,,
32.38953073,,,,,,,,,,
32.38981869,,,,,,,,,,
32.48011741,,,,,,,,,,
32.48037983,,,,,,,,,,
32.56980726,,,,,,,,,,
32.57010472,,,,,,,,,,
32.65942208,,,,,,,,,,
32.65970849,,,,,,,,,,
32.74369251,,,,,,,,,,
32.82044836,,,,,,,,,,
32.90755592,,,,,,,,,,
32.98868147,,,,,,,,,,
33.06653256,,,,,,,,,,
33.14761069,,,,,,,,,,
33.22308189,,,,,,,,,,
33.31019897,,,,,,,,,,
33.39712864,,,,,,,,,,
33.47919994,,,,,,,,,,
33.56739774,,,,,,,,,,
33.64583621,,,,,,,,,,
33.73497537,,,,,,,,,,
33.81271624,,,,,,,,,,
33.90181297,,,,,,,,,,
33.99224312,,,,,,,,,,
33.99253521,,,,,,,,,,
34.07115404,,,,,,,,,,
34.07145889,,,,,,,,,,
34.15415438,,,,,,,,,,
34.15443698,,,,,,,,,,
34.2342934,,,,,,,,,,
34.31708186,,,,,,,,,,
34.39731498,,,,,,,,,,
34.4857568,,,,,,,,,,
34.57523721,,,,,,,,,,
34.66614078,,,,,,,,,,
34.75041113,,,,,,,,,,
34.82977167,,,,,,,,,,
34.91178353,,,,,,,,,,
34.98693325,,,,,,,,,,
35.07419143,,,,,,,,,,
35.15093335,,,,,,,,,,
35.15123863,,,,,,,,,,
35.23823766,,,,,,,,,,
35.23853106,,,,,,,,,,
35.32126152,,,,,,,,,,
35.39913206,,,,,,,,,,
35.48739571,,,,,,,,,,
35.5781745,,,,,,,,,,
35.6668231,,,,,,,,,,
35.66708659,,,,,,,,,,
35.74774729,,,,,,,,,,
35.74801971,,,,,,,,,,
35.8228813,,,,,,,,,,
35.82317045,,,,,,,,,,
35.91165897,,,,,,,,,,
35.99209286,,,,,,,,,,
36.07817198,,,,,,,,,,
36.15701432,,,,,,,,,,
36.23625438,,,,,,,,,,
36.31467861,,,,,,,,,,
36.40379441,,,,,,,,,,
36.48164712,,,,,,,,,,
36.56836766,,,,,,,,,,
36.65437754,,,,,,,,,,
36.74429263,,,,,,,,,,
36.82406571,,,,,,,,,,
36.91351854,,,,,,,,,,
36.91377631,,,,,,,,,,
36.98963731,,,,,,,,,,
37.07934093,,,,,,,,,,
37.16424893,,,,,,,,,,
37.25498759,,,,,,,,,,
37.33691233,,,,,,,,,,
37.33720162,,,,,,,,,,
37.41464958,,,,,,,,,,
37.41495503,,,,,,,,,,
37.49241446,,,,,,,,,,
37.49269105,,,,,,,,,,
37.57964615,,,,,,,,,,
37.66740932,,,,,,,,,,
37.74796178,,,,,,,,,,
37.82927423,,,,,,,,,,
37.90634967,,,,,,,,,,
37.98777806,,,,,,,,,,
38.07718543,,,,,,,,,,
38.16493754,,,,,,,,,,
38.24559555,,,,,,,,,,
38.3253978,,,,,,,,,,
38.40771817,,,,,,,,,,
38.49417369,,,,,,,,,,
38.58454535,,,,,,,,,,
38.66724695,,,,,,,,,,
38.75770352,,,,,,,,,,
38.75799756,,,,,,,,,,
38.84351375,,,,,,,,,,
38.84378765,,,,,,,,,,
38.92811198,,,,,,,,,,
38.92836302,,,,,,,,,,
39.01301817,,,,,,,,,,
39.0133016,,,,,,,,,,
39.10021119,,,,,,,,,,
39.18705323,,,,,,,,,,
39.26552289,,,,,,,,,,
39.35153906,,,,,,,,,,
39.43544342,,,,,,,,,,
39.52666115,,,,,,,,,,
39.60975626,,,,,,,,,,
39.70091238,,,,,,,,,,
39.78528612,,,,,,,,,,
39.86863436,,,,,,,,,,
39.96016949,,,,,,,,,,
40.04426523,,,,,,,,,,
40.13020402,,,,,,,,,,
40.2199775,,,,,,,,,,
40.29929853,,,,,,,,,,
40.29957791,,,,,,,,,,
40.38029772,,,,,,,,,,
40.46159878,,,,,,,,,,
40.53935348,,,,,,,,,,
40.62463163,,,,,,,,,,
40.71392417,,,,,,,,,,
40.80390551,,,,,,,,,,
40.88902109,,,,,,,,,,
40.9664535,,,,,,,,,,
40.96673393,,,,,,,,,,
41.05233424,,,,,,,,,,
41.13730723,,,,,,,,,,
41.13757887,,,,,,,,,,
41.21860005,,,,,,,,,,
41.30822773,,,,,,,,,,
41.38607957,,,,,,,,,,
41.46754667,,,,,,,,,,
41.55761112,,,,,,,,,,
41.63826116,,,,,,,,,,
41.71593141,,,,,,,,,,
41.71623508,,,,,,,,,,
41.79176658,,,,,,,,,,
41.86981542,,,,,,,,,,
41.95601262,,,,,,,,,,
41.95627188,,,,,,,,,,
42.04216753,,,,,,,,,,
42.04245195,,,,,,,,,,
42.12378594,,,,,,,,,,
42.21524189,,,,,,,,,,
42.2155241,,,,,,,,,,
42.29091313,,,,,,,,,,
42.38137289,,,,,,,,,,
42.46769326,,,,,,,,,,
42.54949757,,,,,,,,,,
42.62574295,,,,,,,,,,
42.71641642,,,,,,,,,,
42.80607476,,,,,,,,,,
42.89267797,,,,,,,,,,
42.97583257,,,,,,,,,,
43.05682959,,,,,,,,,,
43.14676456,,,,,,,,,,
43.22500389,,,,,,,,,,
43.30887246,,,,,,,,,,
43.30916344,,,,,,,,,,
43.39925685,,,,,,,,,,
43.39953308,,,,,,,,,,
43.48823487,,,,,,,,,,
43.57538085,,,,,,,,,,
43.57568474,,,,,,,,,,
43.66536588,,,,,,,,,,
43.74345888,,,,,,,,,,
43.74374215,,,,,,,,,,
43.83243888,,,,,,,,,,
43.90978148,,,,,,,,,,
43.99478911,,,,,,,,,,
44.08062835,,,,,,,,,,
44.1619536,,,,,,,,,,
44.24455396,,,,,,,,,,
44.33540964,,,,,,,,,,
44.41855327,,,,,,,,,,
44.50981266,,,,,,,,,,
44.59860585,,,,,,,,,,
44.59891105,,,,,,,,,,
44.68100867,,,,,,,,,,
44.76869089,,,,,,,,,,
44.85313205,,,,,,,,,,
44.93450332,,,,,,,,,,
45.02334429,,,,,,,,,,
45.02363537,,,,,,,,,,
45.10944569,,,,,,,,,,
45.19814434,,,,,,,,,,
45.19841447,,,,,,,,,,
45.2780154,,,,,,,,,,
45.36100138,,,,,,,,,,
45.36127784,,,,,,,,,,
45.44893427,,,,,,,,,,
45.44919807,,,,,,,,,,
45.52902744,,,,,,,,,,
45.61740944,,,,,,,,,,
45.69403678,,,,,,,,,,
45.76918198,,,,,,,,,,
45.85167943,,,,,,,,,,
45.93104658,,,,,,,,,,
46.00859382,,,,,,,,,,
46.08745246,,,,,,,,,,
46.17785709,,,,,,,,,,
46.26490077,,,,,,,,,,
46.35539001,,,,,,,,,,
46.43348052,,,,,,,,,,
46.50990719,,,,,,,,,,
46.58612525,,,,,,,,,,
46.66319151,,,,,,,,,,
46.75386631,,,,,,,,,,
46.83911694,,,,,,,,,,
46.91996384,,,,,,,,,,
46.99650736,,,,,,,,,,
47.07249898,,,,,,,,,,
47.1587572,,,,,,,,,,
